Time Number Z,HT Phase Current Z,x,x_sq,x_cube,x_four,x_five,x_six,,,,,,,,
-2.025067491,0.598272507,-2.025067491,4.100898344,-8.304595923,16.81736723,-34.05630367,68.96631344,,,,,,,,
-2.025021958,0.504284711,-2.025021958,4.10071393,-8.304035751,16.81585474,-34.05247508,68.95700976,,,,,,,,
-2.024976293,0.568714508,-2.024976293,4.100528988,-8.303473991,16.81433798,-34.0486358,68.94768031,,,,,,,,
-2.02493076,0.596279833,-2.02493076,4.100344582,-8.30291387,16.81282569,-34.0448079,68.93837873,,,,,,,,
-2.024885226,0.550780441,-2.024885226,4.10016018,-8.302353774,16.8113135,-34.04098034,68.92907818,,,,,,,,
-2.024839693,0.492328666,-2.024839693,4.099975782,-8.301793703,16.80980141,-34.03715313,68.91977869,,,,,,,,
-2.024794159,0.42789887,-2.024794159,4.099791388,-8.301233657,16.80828943,-34.03332626,68.91048024,,,,,,,,
-2.024748495,0.438194353,-2.024748495,4.099606467,-8.300672023,16.80677318,-34.02948871,68.90115604,,,,,,,,
-2.024702961,0.41660705,-2.024702961,4.099422082,-8.300112028,16.8052614,-34.02566253,68.89185968,,,,,,,,
-2.024657428,0.374096668,-2.024657428,4.0992377,-8.299552058,16.80374972,-34.02183669,68.88256437,,,,,,,,
-2.024611894,0.286751119,-2.024611894,4.099053323,-8.298992114,16.80223815,-34.0180112,68.8732701,,,,,,,,
-2.02456623,0.227967233,-2.02456623,4.098868419,-8.298430581,16.80072231,-34.01417503,68.8639501,,,,,,,,
-2.024520696,0.075527662,-2.024520696,4.09868405,-8.297870686,16.79921094,-34.01035023,68.85465793,,,,,,,,
-2.024475163,0.029364045,-2.024475163,4.098499685,-8.297310817,16.79769967,-34.00652577,68.8453668,,,,,,,,
-2.024429629,0.005451955,-2.024429629,4.098315324,-8.296750974,16.7961885,-34.00270166,68.83607672,,,,,,,,
-2.024384096,-0.267212287,-2.024384096,4.098130968,-8.296191155,16.79467743,-33.99887789,68.82678768,,,,,,,,
-2.024338431,-0.456184217,-2.024338431,4.097946084,-8.295629748,16.79316211,-33.99504344,68.81747292,,,,,,,,
-2.024292898,-0.240311187,-2.024292898,4.097761736,-8.29506998,16.79165125,-33.99122036,68.80818597,,,,,,,,
-2.024247364,-0.245957097,-2.024247364,4.097577392,-8.294510237,16.79014049,-33.98739763,68.79890007,,,,,,,,
-2.024201831,-0.37481669,-2.024201831,4.097393052,-8.293950519,16.78862983,-33.98357523,68.78961521,,,,,,,,
-2.024156166,-0.467808149,-2.024156166,4.097208186,-8.293389213,16.78711492,-33.97974217,68.78030464,,,,,,,,
-2.024110633,-0.582054799,-2.024110633,4.097023854,-8.292829546,16.78560446,-33.97592047,68.77102188,,,,,,,,
-2.024065099,-0.780657987,-2.024065099,4.096839527,-8.292269904,16.78409411,-33.97209911,68.76174015,,,,,,,,
-2.024019566,-0.865346637,-2.024019566,4.096655203,-8.291710287,16.78258386,-33.96827809,68.75245948,,,,,,,,
-2.023974033,-0.835124413,-2.023974033,4.096470884,-8.291150695,16.78107371,-33.96445742,68.74317984,,,,,,,,
-2.023928368,-0.867339311,-2.023928368,4.096286038,-8.290589515,16.77955931,-33.96062608,68.73387451,,,,,,,,
-2.023882834,-0.915495603,-2.023882834,4.096101727,-8.290029974,16.77804936,-33.9568061,68.72459697,,,,,,,,
-2.023837301,-0.982582298,-2.023837301,4.095917421,-8.289470458,16.77653952,-33.95298646,68.71532047,,,,,,,,
-2.023791767,-1.026089017,-2.023791767,4.095733118,-8.288910966,16.77502978,-33.94916716,68.70604501,,,,,,,,
-2.023746103,-1.0632856,-2.023746103,4.095548289,-8.288349888,16.77351579,-33.9453372,68.69674387,,,,,,,,
-2.023700569,-1.111774004,-2.023700569,4.095363995,-8.287790447,16.77200625,-33.94151859,68.6874705,,,,,,,,
-2.01586383,-1.061957151,-2.01586383,4.063706981,-8.19187992,16.51371443,-33.28939962,67.10689662,,,,,,,,
-2.015818297,-1.007822837,-2.015818297,4.063523405,-8.191324829,16.51222246,-33.28564016,67.09780245,,,,,,,,
-2.015772763,-0.986899759,-2.015772763,4.063339833,-8.190769763,16.5107306,-33.28188104,67.0887093,,,,,,,,
-2.015727099,-1.000516365,-2.015727099,4.063155736,-8.190213122,16.50923453,-33.27811142,67.07959098,,,,,,,,
-2.015681565,-0.960662883,-2.015681565,4.062972172,-8.189658106,16.50774287,-33.27435298,67.07049989,,,,,,,,
-2.015636032,-0.872985221,-2.015636032,4.062788612,-8.189103115,16.50625131,-33.27059488,67.06140983,,,,,,,,
-2.015590498,-0.844423559,-2.015590498,4.062605056,-8.188548149,16.50475984,-33.26683712,67.05232079,,,,,,,,
